node_A_num	node_B_num	combined_score
944	1134	0.459
1025	835	0.278
1025	32	0.434
9	1144	0.298
104	752	0.242
104	555	0.152
319	934	0.238
408	580	0.182
408	1075	0.822
421	797	0.47
421	452	0.937
516	551	0.177
516		0.372
520	174	0.167
707	514	0.316
1039	844	0.15
1039	1029	0.248
1124	246	0.322
6	842	0.207
102	358	0.291
102	1120	0.284
140	741	0.283
165	1107	0.234
183	199	0.164
333	897	0.184
383	739	0.231
549	1131	0.734
598	163	0.16
865	447	0.374
865	967	0.477
1141	567	0.166
61	987	0.279
79	528	0.169
293	30	0.244
293	600	0.228
756	116	0.23
924	200	0.632
1054	423	0.221
157	861	0.343
209	2	0.227
358	1150	0.957
934	672	0.16
54	1107	0.399
191	610	0.918
503		0.441
553	721	0.309
561	678	0.658
626	452	0.325
1120	324	0.15
44	809	0.238
59	26	0.313
245	1029	0.248
315	140	0.599
543	652	0.206
729	602	0.999
956	995	0.163
167	402	0.41
175	1058	0.248
278	580	0.162
286	6	0.206
582	1107	0.271
957	1104	0.171
1153	259	0.526
269	1140	0.338
282	159	0.206
282	454	0.275
343		0.212
374	750	0.867
833	192	0.57
1027	133	0.183
210	917	0.346
7	923	0.331
201	60	0.417
290	752	0.678
457	496	0.211
558	153	0.942
570	320	0.458
570	862	0.6
711	136	0.365
711	85	0.28
711	608	0.19
759	756	0.162
759	683	0.284
780	355	0.156
986	878	0.908
1151	384	0.346
1151	1037	0.194
126	653	0.16
130	706	0.438
271	209	0.209
284	695	0.244
284	536	0.825
289		0.227
696	686	0.153
770	1107	0.163
835	437	0.25
1036	987	0.501
1036	869	0.321
1053	58	0.151
1095	75	0.18
1	132	0.155
208	125	0.316
398	769	0.29
398	451	0.359
857	185	0.175
283	485	0.232
283	462	0.338
375	516	0.246
411	290	0.222
723	413	0.213
776	334	0.206
776	670	0.542
246	555	0.58
477	30	0.271
477	600	0.31
477	397	0.414
545	900	0.228
686	461	0.15
862	553	0.732
933	15	0.194
127	119	0.331
219	5	0.232
323	27	0.292
426	1038	0.361
690	882	0.155
223	767	0.206
233	942	0.223
344	695	0.318
432	689	0.298
432	1124	0.371
583	930	0.264
813	354	0.324
321	188	0.198
397	447	0.315
489	101	0.453
774	1130	0.671
854	578	0.507
340	515	0.222
379	143	0.329
751	127	0.205
144	379	0.426
144	641	0.998
1018	897	0.316
1106		0.985
1137	743	0.162
14	1112	0.208
70	980	0.643
170	120	0.292
171		0.608
178	768	0.176
178	286	0.241
461	1058	0.339
790	520	0.198
1084	1170	0.235
32	396	0.999
91	990	0.252
309	1163	0.463
394	862	0.159
602	516	0.39
625	158	0.15
837	1005	0.185
896	1138	0.174
1079	50	0.155
39	301	0.197
101	399	0.261
131	101	0.977
412	542	0.277
468	787	0.362
639	27	0.999
984	118	0.39
265	46	0.524
377	836	0.172
402	1171	0.424
452	366	0.198
458	610	0.547
546	330	0.904
772	700	0.273
819	698	0.238
19	1011	0.248
1016	986	0.457
1016	205	0.267
1016	1140	0.226
455	327	0.163
512		0.425
528	846	0.263
585	610	0.216
987	452	0.266
987	495	0.638
1031	1131	0.277
1107	936	0.177
1107	555	0.387
259	495	0.163
266	1054	0.228
675	912	0.452
741	302	0.472
851	547	0.902
890	1159	0.248
906	904	0.615
46	619	0.227
86	610	0.161
163	1110	0.505
359	871	0.402
431	665	0.202
431	88	0.267
895	448	0.256
65	408	0.168
65	123	0.367
329	719	
579	514	0.279
646	936	0.469
727	246	0.303
1043	604	0.275
1134	649	0.162
573	816	0.39
631	256	0.21
861	820	0.935
1014	399	0.293
1059	397	0.209
700	77	0.226
736	730	0.46
809	1059	0.301
1077	1016	0.454
385	844	0.223
606	419	0.428
617	784	0.512
641	88	0.165
878	403	0.342
1083	556	0.638
34	4	0.217
104	1042	0.195
104	178	0.176
207	166	0.38
314		0.318
404	879	0.401
707	1005	0.287
20	412	0.303
102	252	0.611
102	514	0.419
718	33	0.232
883	999	0.306
1130	1167	0.997
1166	79	0.464
79	340	0.242
293	934	0.284
368	729	0.215
496	1120	0.419
910	1101	0.233
192	13	0.232
192	140	0.369
305	167	0.203
358	250	0.473
629	638	0.214
803	7	0.422
941	12	0.169
191	333	0.204
238	103	0.173
320	641	0.348
364	1044	0.27
422	151	0.654
761	620	0.307
769	302	0.205
923	1135	0.387
990	94	0.394
1113	86	0.466
73	185	0.983
222	865	0.168
256		0.154
272	85	0.203
899	840	0.279
1050	210	0.26
59	595	0.995
620	1156	0.215
674	403	0.165
702	534	0.608
702	14	0.559
797		0.23
797	302	0.961
876	64	0.269
956	617	0.241
1066	15	0.185
582	326	0.687
586	712	0.421
816	1046	0.206
869	783	0.215
916	578	0.354
1046	938	0.163
1046	675	0.352
1061	977	0.317
26	514	0.248
103	1043	0.248
269	669	0.563
343	721	0.521
423	209	0.162
750	348	0.938
833	282	0.174
1027	758	0.157
199	753	0.177
199	56	0.26
210	960	0.23
211	50	0.35
251	573	0.907
576	663	0.166
576	711	0.255
184	448	0.171
201	189	0.998
287	933	0.286
290	1003	0.373
290	505	0.663
570	561	0.368
572	1143	0.161
986	18	0.247
986	1123	0.332
600	535	0.307
1000	957	0.287
1082	313	0.157
1095	467	0.171
1131	573	0.507
1	362	0.196
255	1011	0.478
447	661	0.163
495	198	0.199
832	571	0.996
857	598	0.294
283	655	0.406
303	206	0.584
312	1075	0.172
644	1046	0.222
723	533	0.708
84	166	0.873
172	458	0.286
204	1134	0.779
246	105	0.308
477	69	0.166
545	499	0.27
670	1128	0.423
15	359	0.176
301	546	0.151
323	807	0.743
426	410	0.264
846	132	0.163
1172	995	0.3
76	411	0.203
583	428	0.177
683	1095	0.173
882	781	0.766
113	59	0.151
397	1104	0.202
793	963	0.233
1052	683	0.162
50	908	0.277
129	1125	0.384
129	749	0.159
280	739	0.822
360	868	0.267
360	32	0.4
596	665	0.312
634	382	0.733
748	605	0.231
1023	754	0.74
80	512	0.764
137	1123	0.152
365	325	0.155
524		0.348
963	521	0.186
1001	904	0.481
1001	684	0.535
1084	230	0.175
32	617	0.246
179	399	0.181
483	76	0.183
525	36	0.187
604	782	0.193
782	741	0.175
1085	729	0.154
1085	520	0.404
39	419	0.374
55	698	0.152
101	115	0.26
189	707	0.371
57	604	0.17
158	404	0.278
265	809	0.218
402	94	0.205
402	711	0.433
547	140	0.443
614	980	0.438
772	944	0.53
819	705	0.181
1091	432	0.217
324	74	0.381
913	910	0.563
951	668	0.394
1016	696	0.204
85	527	0.284
194	432	0.165
528	416	0.184
563	1135	0.167
585	993	0.199
654	315	0.226
738	893	0.341
762	454	0.215
821	769	0.157
998	400	0.282
1108	233	0.235
90	283	0.374
205	660	0.438
259	713	0.612
730	801	0.176
1021		0.176
539	527	0.999
804	1066	0.167
943	683	0.509
1168	167	0.264
65	250	0.378
112		0.251
646	231	0.174
735	445	0.172
754	278	0.281
863	975	0.271
863	185	0.868
437	791	0.219
472	686	0.538
540	820	0.877
540	614	0.96
571	478	0.202
708	1172	0.237
1059	658	0.159
1059	567	0.214
1132	910	0.227
38	877	0.53
117	157	0.433
150	939	0.207
362	62	0.931
381		0.332
396	1166	0.693
720	794	0.274
1015	1044	0.469
1138	729	0.265
1138	437	0.272
514	1050	0.999
521	1070	0.641
786	354	0.398
844	587	0.219
878	674	0.846
978	207	0.233
1048	828	0.263
1070	1134	0.169
244	769	0.172
421	770	0.208
520	775	0.301
520	1066	0.161
628	100	0.167
707	74	0.181
6	135	0.169
225	702	0.198
785	15	0.261
865	1127	0.332
883	458	0.214
883	1091	0.999
917	962	0.865
196	40	0.978
274	902	0.248
419	798	0.589
419	188	0.274
613	118	0.26
669	426	0.347
669	596	0.224
722	836	0.188
746	100	0.574
1044	601	0.27
1044	999	0.27
24	374	0.739
305	1066	0.302
417	967	0.254
818	626	0.167
934	667	0.202
934	683	0.358
226	844	0.652
226	45	0.172
226	1021	0.782
422	983	0.547
422	107	0.508
962	891	0.207
1038	844	0.484
1038	198	0.241
1155	981	0.266
231	1107	0.383
256	1056	0.265
299	729	0.193
299	856	0.954
503	321	0.921
553	896	0.156
554	646	0.29
561	473	0.219
610	818	0.197
815	1082	0.499
859	130	0.153
859	661	0.16
1120	129	0.518
1140	94	0.154
118	209	0.251
620	244	0.256
702	409	0.171
725	208	0.216
729	443	0.66
797	841	0.676
950		0.194
582	895	0.265
869	610	0.999
957	723	0.199
343	866	0.258
451	774	0.164
164	156	0.155
580	1038	0.157
758	325	0.246
69	81	0.248
193	423	0.183
433	1108	0.968
493	418	0.379
493	81	0.198
605	721	0.245
780	119	0.152
1171	862	0.269
284	1082	0.995
712	844	0.209
1036	897	0.329
1082	1150	0.162
1169	786	0.582
240	1048	0.166
857	818	0.266
166	44	0.22
411	717	0.164
773	23	0.277
773	283	0.693
787	1077	0.192
936	669	0.178
1033	284	0.411
1033	233	0.485
1075	514	0.205
1075	519	0.177
246	598	0.161
15	805	0.34
127	1084	0.255
426	1107	0.171
504	730	0.172
635	1052	0.252
914	727	0.187
87	158	0.234
96	383	0.206
96	561	0.374
233	314	0.237
425	403	0.218
425	745	0.154
589	194	0.292
713	120	0.177
113	480	0.211
228	1027	0.169
489	179	0.174
612	290	0.429
655	286	0.169
655	774	0.362
774	327	0.268
971	625	0.186
203	46	0.181
360	914	0.358
360	223	0.244
378	1016	0.224
391	207	0.215
391	743	0.343
634	244	0.414
649	553	0.177
879	426	0.506
879	596	0.184
879	1149	0.511
14	999	0.152
365	422	0.675
456	242	0.459
456	855	0.467
836	1000	0.187
963	643	0.289
963	550	0.312
32	845	0.196
91	1124	0.259
116	649	0.233
399	1126	0.333
492	773	0.194
837	579	0.28
974	1042	0.202
1079		0.162
39	240	0.619
39	569	0.936
334	85	0.283
412	397	0.231
468	411	0.15
527	84	0.183
527	123	0.348
