node_A_num	node_B_num	combined_score
1030	515	0.995
493	560	0.16
699	1168	0.208
986	767	0.326
410	1151	0.433
416	755	0.156
446	748	0.635
446	284	0.814
511	672	0.184
600	967	0.321
1036	312	0.167
1	739	0.969
29	323	0.226
29	120	0.318
208	379	0.368
240	837	0.212
255	359	0.359
31	1015	0.61
166	438	0.193
384	859	0.292
411	672	0.174
1033	39	0.167
545	641	0.999
686	1168	0.183
33	629	0.334
83	39	0.363
219	957	0.577
268	242	0.253
301	469	0.218
426	969	0.158
1172	1136	0.216
37	783	0.294
76	1015	0.183
425	709	0.248
432	786	0.279
888	164	0.197
929	738	0.725
489	351	0.152
612	158	0.174
655	585	0.586
733	741	0.154
774	639	0.734
793	505	0.215
854	179	0.177
50	121	0.157
280	742	0.206
340	793	0.974
379	736	0.161
478	1095	0.266
480	809	0.405
480	1101	0.349
664	220	0.175
144	983	0.389
144	700	0.177
144	107	0.901
360	805	0.156
783	981	0.574
783	1025	0.864
879	404	0.401
879	1000	0.176
1137	959	0.153
171	202	0.176
790	60	0.817
902	558	0.15
902	381	0.317
91	665	0.226
427	34	0.152
494	326	0.565
525	611	0.607
591	262	0.22
594	102	0.25
594	457	0.365
689	871	0.159
782	302	0.188
39	833	0.538
55	381	0.152
56	691	0.18
101	507	0.291
119	341	0.355
273	496	0.158
517	368	0.969
639	468	0.186
639	853	0.278
825	299	0.222
870	585	0.376
1057	246	0.19
0	407	0.213
57	597	0.246
200	397	0.393
265	763	0.654
458	34	0.181
772	1152	0.999
819	30	0.258
967	776	0.317
1167	172	0.425
1167	240	0.459
684	904	0.839
684	398	0.864
684	599	0.997
63	368	0.995
169	196	0.372
198	405	0.154
403	1172	0.348
406	879	0.211
536	191	0.546
738	1135	0.163
987	186	0.282
998	34	0.217
1024	913	0.177
1107	174	0.609
1150	754	0.781
90	464	0.165
473	1047	0.225
675	815	0.254
730	185	0.161
12	808	0.167
539	769	0.173
1072	707	0.27
1072	797	0.156
186	788	0.156
407	884	0.233
472	744	0.159
540	363	0.992
573	1123	0.583
599	915	0.998
700	628	0.22
700	698	0.748
715	188	0.168
736	1070	0.236
991	844	0.769
991	45	0.186
994	1047	0.23
27	152	0.31
519	476	0.495
521	798	0.247
568	707	0.27
597	1	0.844
641	836	0.562
978	426	0.238
34	14	0.232
404	456	0.882
408	762	0.235
467	686	0.161
516	606	0.224
102	464	0.333
105	536	0.168
383	237	0.181
530	727	0.18
718	676	0.479
865	936	0.184
915	170	0.171
196	86	0.935
220	1176	0.265
346	869	0.652
737	798	0.322
753	306	0.159
871	607	0.197
871	85	0.218
924	1104	0.28
924	908	0.293
358	151	0.165
358	120	0.331
450	674	0.398
934	315	0.44
980	748	0.372
1144	261	0.17
191	454	0.289
191	1126	0.645
226	416	0.214
769	14	0.489
840	353	0.694
959	579	0.3
990	365	0.153
1038	220	0.999
73	693	0.166
553	1152	0.507
752	389	0.152
799	419	0.175
1140	782	0.359
543	944	0.183
702	107	0.265
848	396	0.175
956	574	0.179
1133	151	0.218
110	972	0.653
121	310	0.15
121	83	0.211
405	77	0.663
586	955	0.368
897	1107	0.339
912	1154	0.578
26	384	0.2
26	355	0.293
366	342	0.241
817	167	0.175
845	1136	0.341
1027	366	0.306
251	458	0.305
650	1095	0.301
703	166	0.381
798	1024	0.385
942	594	0.211
433	689	0.153
433	930	0.171
457	541	0.233
493	319	0.388
743	106	0.299
780	577	0.189
416	896	0.383
511	273	0.214
660	602	0.223
884	246	0.324
918	942	0.471
955	550	0.211
1053	734	0.16
1053	409	0.175
1053	554	0.177
4	888	0.288
240	1053	0.19
240	323	0.888
485	1063	0.991
609	1125	0.183
977	83	0.212
306	836	0.193
471	274	0.186
765	743	0.257
787	899	0.867
1075	367	0.817
84	534	0.83
477	711	0.279
515	270	0.714
515	1167	0.987
670	144	0.735
686	755	0.986
744	983	0.357
820	250	0.999
1058	1002	0.166
635	574	0.155
96	201	0.168
155	496	0.165
233	433	0.738
262	813	0.366
344	262	0.229
348	605	0.375
348	959	0.231
489	185	0.991
667	744	0.745
793	1130	0.993
1052	126	0.23
442	572	0.177
478	575	0.643
480	255	0.441
535	244	0.232
947	954	0.764
75	795	0.582
124	768	0.268
124	286	0.306
203	1070	0.467
360	87	0.15
378	330	0.993
392	428	0.346
454	124	0.154
550	55	0.3
649	91	0.211
649	284	0.855
14	423	0.168
25	764	0.464
70	313	0.202
153	633	0.513
365	144	0.453
954	991	0.486
1001	614	0.522
1055	172	0.598
1084	1025	0.159
91	980	0.509
91	360	0.452
309	290	0.424
459	796	0.489
591	103	0.308
837	16	0.326
860	634	0.418
1118	133	0.207
39	405	0.31
189	255	0.333
273	717	0.19
298	179	0.344
567	269	0.179
567	805	0.241
1011	647	0.163
200	625	0.207
355	702	0.165
458	86	0.168
772	867	0.242
969	1006	0.238
324	87	0.342
587	364	0.988
1101	39	0.177
176	191	0.189
413	24	0.241
448	1046	0.226
814	196	0.199
987	74	0.248
1108	365	0.653
369	477	0.222
369	222	0.271
380	462	0.29
648	470	0.192
648	1151	0.312
906	629	0.277
163	545	0.538
188	244	0.405
359	192	0.168
359	750	0.162
363	947	0.969
555	94	0.265
579	995	0.183
611	1033	0.773
646	169	0.585
727	533	0.414
727	796	0.23
791	678	0.162
1043	711	0.238
1134	511	0.554
38	871	0.996
136	158	0.954
150	69	0.304
700	917	0.997
736	169	0.152
1138	485	0.27
514	842	0.323
666	1134	0.806
786	129	0.998
944	549	0.244
1070	528	0.947
42	209	0.306
499	1022	0.157
633	695	0.229
633	124	0.217
633	78	0.622
633	343	0.224
105	1104	0.439
145	1033	0.163
383	986	0.963
865	581	0.393
1141	348	0.188
274	814	0.167
753	598	0.171
1044	884	0.286
1054	249	0.168
358	303	0.155
629	630	0.444
803	61	0.258
191	653	0.999
422	641	0.29
428	882	0.152
428	109	0.183
761	416	0.261
808	76	0.293
810	1042	0.565
923	571	0.69
962	27	0.288
1038	1118	0.978
1038	1134	0.978
1074	447	0.181
1155	431	0.414
73	191	0.257
299	1033	0.313
553	44	0.243
799	150	0.441
815	105	0.38
1120	882	0.331
1140	567	0.36
59	960	0.181
543	882	0.306
620	252	0.362
956	186	0.177
956	437	0.608
1066	938	0.323
167	1061	0.23
286	734	0.181
957	418	0.165
957	400	0.249
1069	275	0.197
100	998	0.547
750	256	0.225
750	1144	0.283
94	143	0.237
261	813	0.402
575	595	0.152
703	512	0.256
433	428	0.194
457	882	0.156
457	1061	0.227
699	323	0.199
986	994	0.216
1171	251	0.271
271	954	0.177
284	40	0.828
322	505	0.735
446	489	0.612
955	895	0.173
1076	1150	0.253
1095	916	0.241
240	98	0.294
447	248	0.356
462	703	0.201
495	514	0.999
775	273	0.344
1128	45	0.17
166	1022	0.157
283	567	0.332
303	567	0.226
717	844	0.369
773	750	0.402
936	609	0.176
161	257	0.206
187	6	0.198
246	120	0.383
246	151	0.728
544	748	0.675
545	972	0.303
545	675	0.338
705	150	0.255
862	15	0.183
933	1010	0.233
1058	563	0.414
219	883	0.304
323	321	0.265
323	1069	0.434
426	71	0.308
434	668	0.268
690	579	0.158
721	782	0.26
981	863	0.658
1172	7	0.271
1172	605	0.322
76	447	0.23
223	20	0.177
432	768	0.629
683	889	0.24
882	427	0.527
882	503	0.222
50	324	0.15
129	458	0.232
947	1063	0.986
78	42	0.195
78	1159	0.605
124	613	0.188
360	643	0.403
360	91	0.452
822	493	0.163
14	738	0.249
456	756	0.21
1017	883	0.181
295	581	0.219
483	910	0.35
532	1068	0.236
594	309	0.415
782	776	0.616
837	939	0.275
837	909	0.323
101	495	0.301
139	553	0.9
152	129	0.163
189	884	0.189
298	422	0.399
841	290	0.258
1003	274	0.174
1011	755	0.989
1042	1128	0.464
0	672	0.249
355	323	0.28
355	955	0.29
546	807	0.481
887	534	0.175
887	408	0.171
887	293	0.454
969	705	0.21
107	837	0.156
324	338	0.157
338	192	0.194
587	384	0.194
43	748	0.228
63	856	0.971
85	1044	0.322
169	230	0.292
194	730	0.309
738	670	0.417
738	399	0.634
930	478	0.38
995	28	0.157
1024	686	0.205
259	480	0.877
266	240	0.427
648	896	0.342
675	895	0.153
741	579	0.296
1021	793	0.282
1143	152	0.315
18	967	0.247
163	419	0.379
342	1000	0.158
359	775	0.8
395	444	0.654
873	752	0.176
1104	729	0.342
1136	56	0.188
232	801	0.209
555	893	0.193
579	977	0.405
646	512	0.157
754	1023	0.74
791	909	0.791
1081	972	0.26
1135	943	0.544
1152	734	0.313
1152	987	0.713
111	752	0.325
796	844	0.17
807	377	0.274
861	196	0.614
3	1135	0.165
381	522	0.152
700	210	0.324
839	1010	0.163
898	514	0.279
27	125	0.199
267	1068	0.367
597	378	0.302
617	204	0.155
875	723	0.383
875	998	0.66
42	255	0.2
143	36	0.487
143	857	0.837
216	803	0.183
216	194	0.235
404	112	0.448
628	298	0.281
1124	446	0.229
102	854	0.564
102	1128	0.308
140	455	0.237
598	753	0.171
785	641	0.353
1166	279	0.173
419	1112	0.787
419	56	0.177
453	25	0.909
209	599	0.225
562	798	0.471
728	303	0.212
934	1005	0.277
953	366	0.202
238	268	0.226
252	1016	0.818
422	709	0.215
428	421	0.729
593	105	0.308
769	211	0.401
810	398	0.351
928	546	0.291
1038	290	0.194
1123	299	0.169
1155	378	0.497
73	613	0.968
73	603	0.971
222	215	0.187
299	156	0.155
376	793	0.21
1120	85	0.253
59	113	0.151
386	994	0.321
702	776	0.156
797	292	0.335
1010	505	0.242
1117	709	0.894
1117	439	0.208
1133	86	0.289
110	420	0.159
110	129	0.293
167	162	0.316
582	437	0.303
586	1084	0.204
739	1108	0.251
739	364	0.985
816	4	0.272
1069	240	0.376
103	55	0.59
77	490	0.237
211	865	0.246
588	590	0.185
650	220	0.307
877	412	0.154
1030	517	0.157
7	520	0.322
193	86	0.97
201	1095	0.995
287	588	0.232
290	750	0.192
445	1036	0.171
445	612	0.163
570	246	0.271
986	520	0.657
130	477	0.507
271	113	0.24
322	258	0.206
551	189	0.367
565	645	0.398
712	144	0.311
955	104	0.326
1095	667	0.172
88	822	0.196
208	333	0.754
255	404	0.23
255	422	0.18
398	556	0.341
832	1030	0.978
977	1135	0.195
1067	339	0.219
166	797	0.975
303	782	0.322
723	589	0.296
765	464	0.154
776	617	0.187
776	340	0.922
787	200	0.202
30	743	0.39
161	967	0.218
161	1159	0.942
172	255	0.164
1058	462	0.24
33	633	0.344
323	402	0.23
721	374	0.425
846	962	0.303
37	309	0.245
87	185	0.335
262	552	0.202
888	246	0.546
929	228	0.165
929	433	0.35
655	330	0.222
854	404	0.358
891	1104	0.441
1052	183	0.176
1063	883	0.166
50	1069	0.234
263	1070	0.482
379	166	0.176
144	1080	0.518
391	103	0.152
596	1031	0.224
649	916	0.973
14	425	0.378
151	346	0.21
151	105	0.331
365	1072	0.2
365	790	0.449
456	1091	0.342
524	1170	0.221
726	275	0.455
779	571	0.154
1001	546	0.367
32	1055	0.402
295	81	0.438
393	41	0.297
399	79	0.178
459	101	0.49
492	1054	0.257
525	340	0.174
594	638	0.199
782	998	0.66
801	867	0.165
801	1166	0.206
39	578	0.881
189	334	0.181
273	1031	0.16
273	1043	0.591
542	446	0.562
639	833	0.167
639	910	0.219
792	813	0.164
1011	460	0.15
1042	1108	0.952
57	617	0.173
330	987	0.295
377	807	0.274
546	522	0.254
547	973	0.901
614	483	0.998
767	362	0.376
767	1069	0.226
900	597	0.176
911	825	0.267
1080	1126	0.88
1091	211	0.556
1125	606	0.27
19	665	0.42
338	419	0.195
587	693	0.414
1101	579	0.297
371	152	0.153
413	452	0.267
585	499	0.251
738	1055	0.441
1107	453	0.3
250	709	0.177
259	1030	0.151
578	426	0.356
695	209	0.172
927	1059	0.165
983	198	0.472
1158	698	0.249
163	943	0.156
622	1145	0.226
804	112	0.194
873	188	0.302
1019	129	0.275
11	183	0.156
555	674	0.239
579	784	0.501
863	1129	0.236
1081	141	0.201
1134	981	0.152
1134	158	0.202
1135	708	0.223
1175	100	0.939
437	1001	0.175
631	925	0.238
764	244	0.379
1132	33	0.155
1159	527	0.191
136	879	0.416
270	600	0.332
401	79	0.918
521	67	0.162
641	378	0.999
709	75	0.351
143	558	0.2
148	125	0.268
148	107	0.285
460	986	0.366
633	661	0.16
707	508	0.6
20	1002	0.918
102	1108	0.176
105	614	0.53
883	852	0.198
915	517	0.986
1130	129	0.441
1141	45	0.226
196	700	0.988
419	303	0.245
508	210	0.534
523	411	0.279
613	606	0.885
910	458	0.367
924	404	0.18
1054	807	0.185
1110	167	0.171
209	324	0.185
658	38	0.207
803	844	0.305
934	1036	0.165
953	348	0.299
54	412	0.281
428	686	0.188
556	991	0.359
923	601	0.15
923	999	0.245
959	59	0.195
1113	423	0.25
1113	1117	0.999
1113	1133	0.999
1155	585	0.211
141	1066	0.172
222	1033	0.238
231	1075	0.918
610	956	0.998
626	934	0.165
752	1059	0.204
826	15	0.236
894	310	0.349
1050	1113	0.995
1050	1143	0.801
1140	437	0.253
400	534	0.205
463	862	0.378
620	290	0.415
674	131	0.241
972	546	0.942
1117	976	0.349
1133	776	0.994
71	430	0.603
167	319	0.169
286	555	0.625
739	540	0.869
739	526	0.162
912	882	0.19
103	866	0.172
133	1016	0.974
269	169	0.168
277	519	0.271
277	790	0.7
366	671	0.269
374	675	0.227
374	972	0.232
374	1051	0.921
374	657	0.937
451	813	0.263
845	246	0.523
976	129	0.214
77	27	0.999
211	365	0.154
703	421	0.34
942	943	0.792
1030	306	0.194
7	251	0.906
7	1101	0.366
570	7	0.204
711	429	0.182
986	183	0.336
986	1125	0.824
284	293	0.254
322	1140	0.154
446	561	0.203
660	259	0.288
918	470	0.153
955	906	0.231
1053	457	0.184
88	772	0.213
156	553	0.604
485	786	0.855
495	873	0.21
609	1143	0.181
794	312	0.195
977	491	0.189
8	524	0.2
166	189	0.212
166	275	0.373
411	609	0.319
1029	533	0.781
30	715	0.196
74	348	0.151
172	416	0.236
246	614	0.817
477	189	0.533
477	286	0.592
820	863	0.99
302	369	0.165
87	74	0.257
348	306	0.189
348	794	0.251
432	1022	0.5
583	571	0.744
589	788	0.177
589	1166	0.187
813	8	0.34
228	717	0.312
321	926	0.305
1156	988	0.176
478	1125	0.448
480	476	0.202
28	38	0.159
125	323	0.188
378	583	0.633
378	555	0.152
649	101	0.201
783	174	0.998
783	162	0.999
989	154	0.189
80	469	0.157
365	1044	0.289
647	471	0.255
836	437	0.202
902	572	0.219
954	1001	0.155
1084	592	0.17
1084	152	0.154
331	1030	0.555
393	767	0.227
399	115	0.202
483	129	0.999
525	1029	0.213
594	833	0.154
39	188	0.404
56	679	0.169
119	654	0.16
189	959	0.173
298	354	0.215
334	1144	0.311
468	50	0.461
825	956	0.166
1126	721	0.434
0	847	0.327
97	686	0.242
158	855	0.934
546	1151	0.305
772	649	0.447
1091	578	0.194
1125	588	0.379
142	1151	0.162
653	553	0.367
67	460	0.22
169	250	0.167
176	1123	0.207
176	956	0.306
198	640	0.18
1107	614	0.244
1107	158	0.325
1108	580	0.261
205	171	0.19
250	298	0.826
259	587	0.304
369	140	0.275
675	139	0.451
741	483	0.177
851	1027	0.208
851	393	0.152
890	293	0.228
1021	643	0.246
81	205	0.219
163	955	0.207
188	1091	0.163
342	824	0.154
714	84	0.196
873	342	0.385
1168	741	0.2
202	359	0.182
363	340	0.203
646	88	0.155
777	326	0.177
791	172	0.17
863	999	0.992
111	265	0.201
437	216	0.202
889	865	0.302
38	938	0.162
115	782	0.904
115	77	0.307
136	152	0.538
168	462	0.156
168	826	0.156
352	748	0.198
991	597	0.192
1015	1016	0.176
385	37	0.297
597	581	0.961
606	783	0.994
709	140	0.189
844	87	0.187
844	888	0.221
944	772	0.53
1070	305	0.158
9	3	0.228
143	821	0.26
216	815	0.585
404	1010	0.322
633	1053	0.326
20	743	0.959
20	1059	0.183
105	453	0.266
183	1001	0.277
383	143	0.581
549	584	0.943
598	6	0.211
1130	904	0.217
1130	398	0.999
1166	957	0.181
1166	60	0.189
293	957	0.892
419	297	0.155
526	399	0.441
746	610	0.565
756	274	0.162
756	15	0.85
903	154	0.204
1110	1070	0.442
120	118	0.342
157	915	0.397
358	560	0.294
358	546	0.999
358	179	0.992
486	844	0.159
803	862	0.392
934	295	0.298
941	216	0.271
810	869	0.665
923	1137	0.289
1113	411	0.168
285	653	0.304
503	319	0.322
503	702	0.198
554	782	0.205
610	743	0.195
752	781	0.176
799	795	0.284
1050	1095	0.994
1140	164	0.155
1170	9	0.208
2	684	0.994
118	844	0.304
118	646	0.285
729	477	0.165
848	1108	0.331
931	909	0.429
972	592	0.186
1133	1126	0.981
121	1134	0.648
286	97	0.294
586	582	0.304
1022	686	0.295
1046	404	0.22
1153	416	0.187
100	980	0.313
103	208	0.209
133	663	0.203
133	1091	0.22
269	546	0.219
269	560	0.311
282	496	0.4
415	1156	0.186
423	602	0.212
451	480	0.16
829	199	0.174
976	313	0.213
1027	57	0.165
1148	321	0.179
94	1140	0.154
164	295	0.151
210	32	0.42
575	1101	0.351
588	1156	0.226
650	1125	0.309
7	785	0.204
193	963	0.168
193	775	0.297
193	560	0.158
193	546	0.353
290	4	0.175
418	876	0.371
457	73	0.168
570	1113	0.185
570	666	0.202
570	41	0.249
605	457	0.17
1151	575	0.17
52	526	0.287
322	951	0.191
410	219	0.297
410	753	0.2
416	1104	0.192
439	82	0.229
511	198	0.16
600	708	0.336
600	773	0.228
660	628	0.341
660	847	0.258
1082	795	0.195
1131	646	0.179
1	723	0.19
4	672	0.287
10	423	0.31
29	1082	0.176
156	1	0.199
237	144	0.238
240	159	0.205
398	815	0.235
775	285	0.249
832	1124	0.99
1067	38	0.453
23	411	0.28
166	155	0.442
411	495	0.246
644	192	0.675
644	176	0.233
717	57	0.197
717	320	0.222
765	1006	0.191
132	527	0.374
544	551	0.225
545	468	0.305
820	578	0.316
1009	238	0.2
846	436	0.21
981	752	0.336
981	1085	0.239
1172	816	0.254
76	162	0.273
262	503	0.324
344	712	0.189
589	380	0.25
813	891	0.306
882	1118	0.195
888	1143	0.245
929	1023	0.768
297	220	0.168
321	390	0.209
321	55	0.242
655	1152	0.218
706	419	0.299
733	1065	0.154
891	1167	0.318
1052	448	0.161
328	248	0.289
328	230	0.674
478	794	0.284
552	721	0.227
124	601	0.385
144	915	0.194
144	73	0.335
360	1016	0.206
454	1061	0.264
822	1148	0.189
879	1018	0.154
14	1011	0.54
665	91	0.226
836	140	0.177
963	1130	0.238
963	578	0.818
114	592	0.514
179	646	0.563
399	374	0.548
492	577	0.178
525	386	0.247
801	717	0.58
837	325	0.173
860	219	0.265
1085	793	0.277
55	580	0.904
131	133	0.943
189	587	0.391
468	797	0.385
567	1129	0.166
567	240	0.291
678	169	0.158
693	819	0.262
693	265	0.457
792	209	0.212
841	133	0.154
1011	56	0.151
1042	233	0.292
1126	1000	0.179
5	169	0.304
97	162	0.234
158	610	0.228
200	204	0.382
265	743	0.588
355	943	0.22
355	624	0.239
546	385	0.205
673	676	0.24
838	660	0.248
1091	649	0.217
49	986	0.153
107	120	0.238
951	286	0.241
1016	174	0.378
1101	483	0.371
1101	298	0.542
63	416	0.321
85	376	0.171
169	899	0.187
194	483	0.38
403	994	0.253
413	279	0.23
479	194	0.157
585	29	0.263
654	693	0.295
738	144	0.248
1150	365	0.211
90	781	0.158
205	793	0.36
259	1124	0.23
326	64	0.303
353	542	0.346
473	718	0.299
730	26	0.477
851	471	0.196
46	1171	0.223
81	12	0.255
86	1025	0.973
163	166	0.183
163	107	0.3
342	521	0.226
431	675	0.307
539	514	0.999
804	1010	0.281
805	76	0.188
1168	408	0.174
202	702	0.186
363	674	0.281
754	829	0.159
791	1059	0.188
992	1038	0.156
1127	432	0.369
1135	991	0.901
1152	417	0.226
186	1003	0.322
437	1127	0.764
474	265	0.204
571	898	0.323
749	767	0.393
764	393	0.25
1059	890	0.313
1132	470	0.158
98	444	0.287
115	374	0.186
270	1024	0.268
270	144	0.58
396	68	0.16
401	310	0.208
618	63	0.655
1138	1108	0.236
27	158	0.321
354	205	0.236
519	729	0.367
519	1135	0.532
521	599	0.476
597	832	0.254
597	1085	0.97
666	673	0.234
709	358	0.998
844	674	0.446
999	857	0.43
34	472	0.61
104	618	0.733
143	428	0.181
143	426	0.432
207	1050	0.158
248	939	0.221
314	588	0.285
361	730	0.155
460	420	0.428
467	419	0.188
520	869	0.927
633	630	0.206
145	964	0.168
785	836	0.426
915	252	0.392
1166	706	0.205
174	37	0.326
274	553	0.671
453	581	0.96
496	878	0.674
746	783	0.235
1110	1082	0.278
24	995	0.172
279	512	0.181
562	342	0.275
629	42	0.429
658	285	0.163
818	870	0.155
818	130	0.176
226	558	0.694
638	686	0.238
850	964	0.187
923	1107	0.241
990	924	0.229
1113	833	0.157
1155	832	0.592
73	683	0.405
222	1029	0.151
285	594	0.182
285	546	0.258
610	793	0.924
799	702	0.196
826	304	0.335
826	633	0.264
1140	1172	0.752
702	842	0.267
729	7	0.199
931	156	0.277
950	127	0.207
1066	986	0.19
110	990	0.19
296	183	0.19
811	396	0.339
1022	359	0.151
1061	46	0.532
1069	628	0.305
26	956	0.158
750	140	0.256
829	496	0.225
77	1167	0.995
211	428	0.449
580	936	0.29
588	556	0.238
758	1125	0.179
69	460	0.207
69	193	0.198
201	368	0.251
201	374	0.255
433	114	0.219
493	773	0.2
558	928	0.153
605	184	0.222
986	376	0.213
126	791	0.331
271	161	0.284
600	301	0.182
806		0.183
835	748	0.456
1036	85	0.56
1095	964	0.173
1	962	0.979
4	947	0.27
240	807	0.388
240	859	0.225
255	562	0.275
318	814	0.163
318	49	0.366
398	797	0.281
447	583	0.183
630	91	0.21
775	271	0.703
166	725	0.343
166	1066	0.787
411	1080	0.168
411	385	0.175
411	1070	0.241
505	1123	0.207
574	342	0.153
765	470	0.185
787	220	0.228
74	629	0.162
84	514	0.181
161	888	0.183
172	201	0.233
187	305	0.193
545	1118	0.953
640	84	0.309
744	101	0.64
862	464	0.214
219	624	0.209
219	58	0.289
323	484	0.357
491	303	0.246
676	140	0.256
721	599	0.562
846	191	0.999
96	606	0.836
233	718	0.167
262	457	0.284
344	670	0.29
882	51	0.293
297	483	0.4
397	625	0.265
397	63	0.244
667	477	0.693
774	667	0.201
793	1132	0.997
891	549	0.697
129	422	0.22
340	34	0.369
379	1107	0.192
360	406	0.201
590	68	0.269
596	114	0.201
634	115	0.221
748	1151	0.303
748	34	0.178
879	549	0.475
1006	7	0.289
1018	888	0.999
1023	1061	0.744
1129	839	0.157
1129	251	0.195
1129	1125	0.999
1137	738	0.161
1137	640	0.245
14	220	0.973
621	359	0.249
672	906	0.179
868	790	0.186
963	572	0.171
1055	1084	0.199
1084	805	0.236
399	409	0.395
533	99	0.277
689	32	0.234
782	733	0.417
1079	199	0.307
1085	721	0.576
101	967	0.263
101	1009	0.481
298	711	0.804
412	20	0.303
435	646	0.181
468	1167	0.197
468	1018	0.999
567	1168	0.396
639	600	0.41
693	295	0.196
693	283	0.251
841	553	0.709
1011	705	0.267
1126	796	0.272
1126	11	0.175
355	325	0.227
546	495	0.993
819	472	0.225
819	265	0.287
887	596	0.32
1047	473	0.225
1101	252	0.23
1101	790	0.366
43	943	0.156
60	1070	0.813
194	1136	0.335
403	1117	0.172
512	963	0.16
536	944	0.244
585	240	0.348
762	170	0.196
762	451	0.337
266	882	0.263
313	798	0.248
730	116	0.182
890	451	0.36
1021	125	0.176
867	1073	0.161
1068	650	0.233
232	1084	0.153
363	174	0.998
363	1084	0.278
784	1140	0.179
791	192	0.206
791	943	0.162
1072	1000	0.156
249	44	0.201
472	317	0.557
764	776	0.333
764	702	0.597
1159	422	0.426
270	1150	0.458
396	383	0.191
700	915	0.999
994	121	0.291
27	364	0.271
292	1066	0.226
385	1152	0.239
709	535	0.164
786	589	0.173
844	274	0.501
999	14	0.152
1025	4	0.27
104	956	0.926
104	458	0.712
242	426	0.172
244	454	0.175
707	837	0.276
763	608	0.242
1039	258	0.15
6	246	0.159
140	957	0.505
183	45	0.191
333	918	0.156
922	462	0.182
220	56	0.39
346	703	0.275
419	526	0.632
453	467	0.192
508	545	0.202
508	1001	0.271
737	1067	0.216
871	366	0.27
910	193	0.211
154	631	0.293
358	801	0.202
818	772	0.397
818	786	0.443
993	381	0.19
13	753	0.228
252	753	0.426
320	620	0.182
364	375	0.986
428	1176	0.329
769	295	0.221
769	283	0.309
808	94	0.176
840	1044	0.337
990	163	0.187
1038	250	0.293
1113	144	0.995
1113	959	0.161
1123	110	0.16
73	882	0.249
141	396	0.155
503	462	0.151
561	289	0.439
799	403	0.335
815	7	0.162
826	198	0.403
826	45	0.221
1002	1021	0.28
1050	836	0.268
1120	101	0.429
1140	1110	0.384
2	1095	0.346
386	1069	0.17
620	39	0.39
702	844	0.53
848	870	0.151
950	121	0.282
1117	327	0.322
167	244	0.281
286	975	0.449
661	555	0.983
816	793	0.284
816	1129	0.384
897	1018	0.316
1069	1155	0.311
162	280	0.969
269	464	0.302
269	20	0.338
366	1141	0.248
423	879	0.223
451	129	0.337
261	626	0.163
577	137	0.166
1030	1130	0.824
201	137	0.197
445	578	0.15
457	1079	0.296
558	852	0.822
711	666	0.223
743	404	0.238
52	721	0.16
446	736	0.586
551	359	0.291
660	841	0.153
884	581	0.333
918	486	0.155
955	167	0.239
1053	164	0.167
1082	815	0.499
240	189	0.532
255	94	0.327
398	86	0.209
447	1135	0.358
977	1011	0.167
411	1052	0.167
411	152	0.3
773	527	0.288
161	1148	0.201
246	259	0.196
477	922	0.499
545	924	0.198
670	744	0.324
1009	708	0.191
1058	545	0.34
15	631	0.92
83	718	0.195
219	877	0.379
323	131	0.234
426	358	0.169
491	323	0.425
76	403	0.354
262	242	0.647
344	865	0.2
1052	468	0.192
50	782	0.863
50	77	0.371
129	665	0.211
351	344	0.816
745	600	0.542
378	1135	0.867
592	1166	0.237
634	374	0.158
634	567	0.204
783	495	0.252
856	1	0.964
1023	618	0.197
1106	1001	0.242
14	785	0.259
153	860	0.55
171	870	0.589
436	169	0.186
779	639	0.197
106	262	0.256
114	269	0.273
116	151	0.171
295	519	0.211
443	495	0.181
591	764	0.216
594	588	0.249
602	722	0.204
801	767	0.284
1085	980	0.208
1085	661	0.896
1118	649	0.162
1118	1042	0.901
55	333	0.22
298	157	0.381
449	380	0.701
542	1126	0.229
542	1104	0.229
639	381	0.237
639	1058	0.288
742	398	0.406
1126	691	0.171
1145	665	0.257
377	707	0.286
452	626	0.325
546	1027	0.279
614	927	0.237
767	782	0.434
767	77	0.513
967	139	0.308
967	197	0.9
49	428	0.295
587	727	0.16
653	368	0.652
51	881	0.341
198	358	0.189
448	1062	0.26
738	599	0.205
762	397	0.239
821	1008	0.252
578	84	0.157
643	515	0.169
643	1067	0.191
730	741	0.248
741	903	0.491
1161	777	0.195
46	841	0.793
327	924	0.17
539	456	0.357
595	575	0.152
595	515	0.195
804	600	0.17
805	817	0.329
904	363	0.859
960	226	0.168
1104	19	0.37
363	1082	0.985
642	121	0.397
1072	1168	0.158
111	283	0.188
249	14	0.2
437	485	0.17
540	32	0.426
571	1038	0.997
599	917	0.996
908	1054	0.277
973	206	0.185
1014	560	0.245
136	393	0.199
168	274	0.323
270	405	0.294
352	512	0.275
381	797	0.869
396	556	0.219
396	355	0.345
401	641	0.557
720	404	0.251
809	105	0.4
991	1053	0.375
1077	105	0.181
27	786	0.188
519	626	0.514
641	927	0.334
641	437	0.366
666	14	0.535
709	346	0.652
844	117	0.153
844	686	0.28
852	817	0.209
944	629	0.411
9	1126	0.473
9	879	0.96
143	205	0.263
349	1169	0.174
361	140	0.361
467	923	0.229
488	674	0.232
763	592	0.205
20	406	0.192
140	50	0.341
718	126	0.168
865	79	0.265
883	163	0.544
915	814	0.325
79	402	0.823
79	910	0.198
274	77	0.228
