sample_id	population_description
HG01595	"Kinh in Ho Chi Minh City, Vietnam"
HG01596	"Kinh in Ho Chi Minh City, Vietnam"
HG01597	"Kinh in Ho Chi Minh City, Vietnam"
HG01598	"Kinh in Ho Chi Minh City, Vietnam"
HG01599	"Kinh in Ho Chi Minh City, Vietnam"
HG01600	"Kinh in Ho Chi Minh City, Vietnam"
HG01601	Iberian populations in Spain
HG01602	Iberian populations in Spain
HG01603	Iberian populations in Spain
HG01604	Iberian populations in Spain
HG01605	Iberian populations in Spain
HG01606	Iberian populations in Spain
HG01607	Iberian populations in Spain
HG01608	Iberian populations in Spain
HG01609	Iberian populations in Spain
HG01610	Iberian populations in Spain
HG01611	Iberian populations in Spain
HG01612	Iberian populations in Spain
HG01613	Iberian populations in Spain
HG01614	Iberian populations in Spain
HG01615	Iberian populations in Spain
HG01616	Iberian populations in Spain
HG01617	Iberian populations in Spain
HG01618	Iberian populations in Spain
HG01619	Iberian populations in Spain
HG01620	Iberian populations in Spain
HG01621	Iberian populations in Spain
HG01622	Iberian populations in Spain
HG01623	Iberian populations in Spain
HG01624	Iberian populations in Spain
HG01625	Iberian populations in Spain
HG01626	Iberian populations in Spain
HG01627	Iberian populations in Spain
HG01628	Iberian populations in Spain
HG01629	Iberian populations in Spain
HG01630	Iberian populations in Spain
HG01631	Iberian populations in Spain
HG01632	Iberian populations in Spain
HG01633	Iberian populations in Spain
HG01667	Iberian populations in Spain
HG01668	Iberian populations in Spain
HG01669	Iberian populations in Spain
HG01670	Iberian populations in Spain
HG01671	Iberian populations in Spain
HG01672	Iberian populations in Spain
HG01673	Iberian populations in Spain
HG01674	Iberian populations in Spain
HG01675	Iberian populations in Spain
HG01676	Iberian populations in Spain
HG01677	Iberian populations in Spain
HG01678	Iberian populations in Spain
HG01679	Iberian populations in Spain
HG01680	Iberian populations in Spain
HG01681	Iberian populations in Spain
HG01682	Iberian populations in Spain
HG01683	Iberian populations in Spain
HG01684	Iberian populations in Spain
HG01685	Iberian populations in Spain
HG01686	Iberian populations in Spain
HG01687	Iberian populations in Spain
HG01694	Iberian populations in Spain
HG01695	Iberian populations in Spain
HG01696	Iberian populations in Spain
HG01697	Iberian populations in Spain
HG01698	Iberian populations in Spain
HG01699	Iberian populations in Spain
HG01700	Iberian populations in Spain
HG01701	Iberian populations in Spain
HG01702	Iberian populations in Spain
HG01703	Iberian populations in Spain
HG01704	Iberian populations in Spain
HG01705	Iberian populations in Spain
HG01706	Iberian populations in Spain
HG01707	Iberian populations in Spain
HG01708	Iberian populations in Spain
HG01709	Iberian populations in Spain
HG01710	Iberian populations in Spain
HG01711	Iberian populations in Spain
HG01746	Iberian populations in Spain
HG01747	Iberian populations in Spain
HG01748	Iberian populations in Spain
HG01755	Iberian populations in Spain
HG01756	Iberian populations in Spain
HG01757	Iberian populations in Spain
HG01761	Iberian populations in Spain
HG01762	Iberian populations in Spain
HG01763	Iberian populations in Spain
HG01764	Iberian populations in Spain
HG01765	Iberian populations in Spain
HG01766	Iberian populations in Spain
HG01767	Iberian populations in Spain
HG01768	Iberian populations in Spain
HG01769	Iberian populations in Spain
HG01770	Iberian populations in Spain
HG01771	Iberian populations in Spain
HG01772	Iberian populations in Spain
HG01773	Iberian populations in Spain
HG01774	Iberian populations in Spain
HG01775	Iberian populations in Spain
HG01776	Iberian populations in Spain
HG01777	Iberian populations in Spain
HG01778	Iberian populations in Spain
HG01779	Iberian populations in Spain
HG01780	Iberian populations in Spain
HG01781	Iberian populations in Spain
HG01782	Iberian populations in Spain
HG01783	Iberian populations in Spain
HG01784	Iberian populations in Spain
HG01785	Iberian populations in Spain
HG01786	Iberian populations in Spain
HG01787	Iberian populations in Spain
HG01789	British in England and Scotland
HG01790	British in England and Scotland
HG01791	British in England and Scotland
HG01794	"Chinese Dai in Xishuangbanna, China"
HG01795	"Chinese Dai in Xishuangbanna, China"
HG01796	"Chinese Dai in Xishuangbanna, China"
HG01797	"Chinese Dai in Xishuangbanna, China"
HG01798	"Chinese Dai in Xishuangbanna, China"
HG01799	"Chinese Dai in Xishuangbanna, China"
HG01800	"Chinese Dai in Xishuangbanna, China"
HG01801	"Chinese Dai in Xishuangbanna, China"
HG01802	"Chinese Dai in Xishuangbanna, China"
HG01804	"Chinese Dai in Xishuangbanna, China"
HG01805	"Chinese Dai in Xishuangbanna, China"
HG01806	"Chinese Dai in Xishuangbanna, China"
HG01807	"Chinese Dai in Xishuangbanna, China"
HG01808	"Chinese Dai in Xishuangbanna, China"
HG01809	"Chinese Dai in Xishuangbanna, China"
HG01810	"Chinese Dai in Xishuangbanna, China"
HG01811	"Chinese Dai in Xishuangbanna, China"
HG01812	"Chinese Dai in Xishuangbanna, China"
HG01813	"Chinese Dai in Xishuangbanna, China"
HG01815	"Chinese Dai in Xishuangbanna, China"
HG01816	"Chinese Dai in Xishuangbanna, China"
HG01817	"Chinese Dai in Xishuangbanna, China"
HG01840	"Kinh in Ho Chi Minh City, Vietnam"
HG01841	"Kinh in Ho Chi Minh City, Vietnam"
HG01842	"Kinh in Ho Chi Minh City, Vietnam"
HG01843	"Kinh in Ho Chi Minh City, Vietnam"
HG01844	"Kinh in Ho Chi Minh City, Vietnam"
HG01845	"Kinh in Ho Chi Minh City, Vietnam"
HG01846	"Kinh in Ho Chi Minh City, Vietnam"
HG01847	"Kinh in Ho Chi Minh City, Vietnam"
HG01848	"Kinh in Ho Chi Minh City, Vietnam"
HG01849	"Kinh in Ho Chi Minh City, Vietnam"
HG01850	"Kinh in Ho Chi Minh City, Vietnam"
HG01851	"Kinh in Ho Chi Minh City, Vietnam"
HG01852	"Kinh in Ho Chi Minh City, Vietnam"
HG01853	"Kinh in Ho Chi Minh City, Vietnam"
HG01855	"Kinh in Ho Chi Minh City, Vietnam"
HG01857	"Kinh in Ho Chi Minh City, Vietnam"
HG01858	"Kinh in Ho Chi Minh City, Vietnam"
HG01859	"Kinh in Ho Chi Minh City, Vietnam"
HG01860	"Kinh in Ho Chi Minh City, Vietnam"
HG01861	"Kinh in Ho Chi Minh City, Vietnam"
HG01862	"Kinh in Ho Chi Minh City, Vietnam"
HG01863	"Kinh in Ho Chi Minh City, Vietnam"
HG01864	"Kinh in Ho Chi Minh City, Vietnam"
HG01865	"Kinh in Ho Chi Minh City, Vietnam"
HG01866	"Kinh in Ho Chi Minh City, Vietnam"
HG01867	"Kinh in Ho Chi Minh City, Vietnam"
HG01868	"Kinh in Ho Chi Minh City, Vietnam"
HG01869	"Kinh in Ho Chi Minh City, Vietnam"
HG01870	"Kinh in Ho Chi Minh City, Vietnam"
HG01871	"Kinh in Ho Chi Minh City, Vietnam"
HG01872	"Kinh in Ho Chi Minh City, Vietnam"
HG01873	"Kinh in Ho Chi Minh City, Vietnam"
HG01874	"Kinh in Ho Chi Minh City, Vietnam"
HG01878	"Kinh in Ho Chi Minh City, Vietnam"
HG01879	African Caribbean in Barbados
HG01880	African Caribbean in Barbados
HG01881	African Caribbean in Barbados
HG01882	African Caribbean in Barbados
HG01883	African Caribbean in Barbados
HG01884	African Caribbean in Barbados
HG01885	African Caribbean in Barbados
HG01886	African Caribbean in Barbados
HG01887	African Caribbean in Barbados
HG01888	African Caribbean in Barbados
HG01889	African Caribbean in Barbados
HG01890	African Caribbean in Barbados
HG01891	African Caribbean in Barbados
HG01892	"Peruvian in Lima, Peru"
HG01893	"Peruvian in Lima, Peru"
HG01894	African Caribbean in Barbados
HG01895	African Caribbean in Barbados
HG01896	African Caribbean in Barbados
HG01897	African Caribbean in Barbados
HG01898	"Peruvian in Lima, Peru"
HG01912	African Caribbean in Barbados
HG01914	African Caribbean in Barbados
HG01915	African Caribbean in Barbados
HG01916	African Caribbean in Barbados
HG01917	"Peruvian in Lima, Peru"
HG01918	"Peruvian in Lima, Peru"
HG01919	"Peruvian in Lima, Peru"
HG01920	"Peruvian in Lima, Peru"
HG01921	"Peruvian in Lima, Peru"
HG01922	"Peruvian in Lima, Peru"
HG01923	"Peruvian in Lima, Peru"
HG01924	"Peruvian in Lima, Peru"
HG01925	"Peruvian in Lima, Peru"
HG01926	"Peruvian in Lima, Peru"
HG01927	"Peruvian in Lima, Peru"
HG01928	"Peruvian in Lima, Peru"
HG01932	"Peruvian in Lima, Peru"
HG01933	"Peruvian in Lima, Peru"
HG01934	"Peruvian in Lima, Peru"
HG01935	"Peruvian in Lima, Peru"
HG01936	"Peruvian in Lima, Peru"
HG01937	"Peruvian in Lima, Peru"
HG01938	"Peruvian in Lima, Peru"
HG01939	"Peruvian in Lima, Peru"
HG01940	"Peruvian in Lima, Peru"
HG01941	"Peruvian in Lima, Peru"
HG01942	"Peruvian in Lima, Peru"
HG01943	"Peruvian in Lima, Peru"
HG01944	"Peruvian in Lima, Peru"
HG01945	"Peruvian in Lima, Peru"
HG01946	"Peruvian in Lima, Peru"
HG01947	"Peruvian in Lima, Peru"
HG01948	"Peruvian in Lima, Peru"
HG01949	"Peruvian in Lima, Peru"
HG01950	"Peruvian in Lima, Peru"
HG01951	"Peruvian in Lima, Peru"
HG01952	"Peruvian in Lima, Peru"
HG01953	"Peruvian in Lima, Peru"
HG01954	"Peruvian in Lima, Peru"
HG01955	"Peruvian in Lima, Peru"
HG01956	African Caribbean in Barbados
HG01958	African Caribbean in Barbados
HG01959	African Caribbean in Barbados
HG01960	African Caribbean in Barbados
HG01961	"Peruvian in Lima, Peru"
HG01965	"Peruvian in Lima, Peru"
HG01967	"Peruvian in Lima, Peru"
HG01968	"Peruvian in Lima, Peru"
HG01969	"Peruvian in Lima, Peru"
HG01970	"Peruvian in Lima, Peru"
HG01971	"Peruvian in Lima, Peru"
HG01972	"Peruvian in Lima, Peru"
HG01973	"Peruvian in Lima, Peru"
HG01974	"Peruvian in Lima, Peru"
HG01975	"Peruvian in Lima, Peru"
HG01976	"Peruvian in Lima, Peru"
HG01977	"Peruvian in Lima, Peru"
HG01978	"Peruvian in Lima, Peru"
HG01979	"Peruvian in Lima, Peru"
HG01980	"Peruvian in Lima, Peru"
HG01981	"Peruvian in Lima, Peru"
HG01982	"Peruvian in Lima, Peru"
HG01983	"Peruvian in Lima, Peru"
HG01984	"Peruvian in Lima, Peru"
HG01985	African Caribbean in Barbados
HG01986	African Caribbean in Barbados
HG01987	African Caribbean in Barbados
HG01988	African Caribbean in Barbados
HG01989	African Caribbean in Barbados
HG01990	African Caribbean in Barbados
HG01991	"Peruvian in Lima, Peru"
HG01992	"Peruvian in Lima, Peru"
HG01993	"Peruvian in Lima, Peru"
HG01995	"Peruvian in Lima, Peru"
HG01997	"Peruvian in Lima, Peru"
HG01998	"Peruvian in Lima, Peru"
HG02002	"Peruvian in Lima, Peru"
HG02003	"Peruvian in Lima, Peru"
HG02004	"Peruvian in Lima, Peru"
HG02006	"Peruvian in Lima, Peru"
HG02008	"Peruvian in Lima, Peru"
HG02009	African Caribbean in Barbados
HG02010	African Caribbean in Barbados
HG02011	African Caribbean in Barbados
HG02012	African Caribbean in Barbados
HG02013	African Caribbean in Barbados
HG02014	African Caribbean in Barbados
HG02015	"Kinh in Ho Chi Minh City, Vietnam"
HG02016	"Kinh in Ho Chi Minh City, Vietnam"
HG02017	"Kinh in Ho Chi Minh City, Vietnam"
HG02018	"Kinh in Ho Chi Minh City, Vietnam"
HG02019	"Kinh in Ho Chi Minh City, Vietnam"
HG02020	"Kinh in Ho Chi Minh City, Vietnam"
HG02021	"Kinh in Ho Chi Minh City, Vietnam"
HG02023	"Kinh in Ho Chi Minh City, Vietnam"
HG02024	"Kinh in Ho Chi Minh City, Vietnam"
HG02025	"Kinh in Ho Chi Minh City, Vietnam"
HG02026	"Kinh in Ho Chi Minh City, Vietnam"
HG02027	"Kinh in Ho Chi Minh City, Vietnam"
HG02028	"Kinh in Ho Chi Minh City, Vietnam"
HG02029	"Kinh in Ho Chi Minh City, Vietnam"
HG02030	"Kinh in Ho Chi Minh City, Vietnam"
HG02031	"Kinh in Ho Chi Minh City, Vietnam"
HG02032	"Kinh in Ho Chi Minh City, Vietnam"
HG02035	"Kinh in Ho Chi Minh City, Vietnam"
HG02040	"Kinh in Ho Chi Minh City, Vietnam"
HG02046	"Kinh in Ho Chi Minh City, Vietnam"
HG02047	"Kinh in Ho Chi Minh City, Vietnam"
HG02048	"Kinh in Ho Chi Minh City, Vietnam"
HG02049	"Kinh in Ho Chi Minh City, Vietnam"
HG02050	"Kinh in Ho Chi Minh City, Vietnam"
HG02051	African Caribbean in Barbados
HG02052	African Caribbean in Barbados
HG02053	African Caribbean in Barbados
HG02054	African Caribbean in Barbados
HG02055	African Caribbean in Barbados
HG02056	"Kinh in Ho Chi Minh City, Vietnam"
HG02057	"Kinh in Ho Chi Minh City, Vietnam"
HG02058	"Kinh in Ho Chi Minh City, Vietnam"
HG02059	"Kinh in Ho Chi Minh City, Vietnam"
HG02060	"Kinh in Ho Chi Minh City, Vietnam"
HG02061	"Kinh in Ho Chi Minh City, Vietnam"
HG02064	"Kinh in Ho Chi Minh City, Vietnam"
HG02067	"Kinh in Ho Chi Minh City, Vietnam"
HG02068	"Kinh in Ho Chi Minh City, Vietnam"
HG02069	"Kinh in Ho Chi Minh City, Vietnam"
HG02070	"Kinh in Ho Chi Minh City, Vietnam"
HG02071	"Kinh in Ho Chi Minh City, Vietnam"
HG02072	"Kinh in Ho Chi Minh City, Vietnam"
HG02073	"Kinh in Ho Chi Minh City, Vietnam"
HG02074	"Kinh in Ho Chi Minh City, Vietnam"
HG02075	"Kinh in Ho Chi Minh City, Vietnam"
HG02076	"Kinh in Ho Chi Minh City, Vietnam"
HG02077	"Kinh in Ho Chi Minh City, Vietnam"
HG02078	"Kinh in Ho Chi Minh City, Vietnam"
HG02079	"Kinh in Ho Chi Minh City, Vietnam"
HG02080	"Kinh in Ho Chi Minh City, Vietnam"
HG02081	"Kinh in Ho Chi Minh City, Vietnam"
HG02082	"Kinh in Ho Chi Minh City, Vietnam"
HG02083	"Kinh in Ho Chi Minh City, Vietnam"
HG02084	"Kinh in Ho Chi Minh City, Vietnam"
HG02085	"Kinh in Ho Chi Minh City, Vietnam"
HG02086	"Kinh in Ho Chi Minh City, Vietnam"
HG02087	"Kinh in Ho Chi Minh City, Vietnam"
HG02088	"Kinh in Ho Chi Minh City, Vietnam"
HG02089	"Peruvian in Lima, Peru"
HG02090	"Peruvian in Lima, Peru"
HG02091	"Peruvian in Lima, Peru"
HG02095	African Caribbean in Barbados
HG02102	"Peruvian in Lima, Peru"
HG02104	"Peruvian in Lima, Peru"
HG02105	"Peruvian in Lima, Peru"
HG02106	"Peruvian in Lima, Peru"
HG02107	African Caribbean in Barbados
HG02108	African Caribbean in Barbados
HG02111	African Caribbean in Barbados
HG02113	"Kinh in Ho Chi Minh City, Vietnam"
HG02116	"Kinh in Ho Chi Minh City, Vietnam"
HG02120	"Kinh in Ho Chi Minh City, Vietnam"
HG02121	"Kinh in Ho Chi Minh City, Vietnam"
HG02122	"Kinh in Ho Chi Minh City, Vietnam"
HG02126	"Kinh in Ho Chi Minh City, Vietnam"
HG02127	"Kinh in Ho Chi Minh City, Vietnam"
HG02128	"Kinh in Ho Chi Minh City, Vietnam"
HG02129	"Kinh in Ho Chi Minh City, Vietnam"
HG02130	"Kinh in Ho Chi Minh City, Vietnam"
HG02131	"Kinh in Ho Chi Minh City, Vietnam"
HG02132	"Kinh in Ho Chi Minh City, Vietnam"
HG02133	"Kinh in Ho Chi Minh City, Vietnam"
HG02134	"Kinh in Ho Chi Minh City, Vietnam"
HG02135	"Kinh in Ho Chi Minh City, Vietnam"
HG02136	"Kinh in Ho Chi Minh City, Vietnam"
HG02137	"Kinh in Ho Chi Minh City, Vietnam"
HG02138	"Kinh in Ho Chi Minh City, Vietnam"
HG02139	"Kinh in Ho Chi Minh City, Vietnam"
HG02140	"Kinh in Ho Chi Minh City, Vietnam"
HG02141	"Kinh in Ho Chi Minh City, Vietnam"
HG02142	"Kinh in Ho Chi Minh City, Vietnam"
HG02143	African Caribbean in Barbados
HG02144	African Caribbean in Barbados
HG02145	African Caribbean in Barbados
HG02146	"Peruvian in Lima, Peru"
HG02147	"Peruvian in Lima, Peru"
HG02148	"Peruvian in Lima, Peru"
HG02150	"Peruvian in Lima, Peru"
HG02151	"Chinese Dai in Xishuangbanna, China"
HG02152	"Chinese Dai in Xishuangbanna, China"
HG02153	"Chinese Dai in Xishuangbanna, China"
HG02154	"Chinese Dai in Xishuangbanna, China"
HG02155	"Chinese Dai in Xishuangbanna, China"
HG02156	"Chinese Dai in Xishuangbanna, China"
HG02164	"Chinese Dai in Xishuangbanna, China"
HG02165	"Chinese Dai in Xishuangbanna, China"
HG02166	"Chinese Dai in Xishuangbanna, China"
HG02168	"Chinese Dai in Xishuangbanna, China"
HG02169	"Chinese Dai in Xishuangbanna, China"
HG02170	"Chinese Dai in Xishuangbanna, China"
HG02173	"Chinese Dai in Xishuangbanna, China"
HG02176	"Chinese Dai in Xishuangbanna, China"
HG02178	"Chinese Dai in Xishuangbanna, China"
HG02179	"Chinese Dai in Xishuangbanna, China"
HG02180	"Chinese Dai in Xishuangbanna, China"
HG02181	"Chinese Dai in Xishuangbanna, China"
HG02182	"Chinese Dai in Xishuangbanna, China"
HG02184	"Chinese Dai in Xishuangbanna, China"
HG02185	"Chinese Dai in Xishuangbanna, China"
HG02186	"Chinese Dai in Xishuangbanna, China"
HG02187	"Chinese Dai in Xishuangbanna, China"
HG02188	"Chinese Dai in Xishuangbanna, China"
HG02189	"Chinese Dai in Xishuangbanna, China"
HG02190	"Chinese Dai in Xishuangbanna, China"
HG02215	British in England and Scotland
HG02217	Iberian populations in Spain
HG02218	Iberian populations in Spain
HG02219	Iberian populations in Spain
HG02220	Iberian populations in Spain
HG02221	Iberian populations in Spain
HG02222	Iberian populations in Spain
HG02223	Iberian populations in Spain
HG02224	Iberian populations in Spain
HG02225	Iberian populations in Spain
HG02229	Iberian populations in Spain
HG02230	Iberian populations in Spain
HG02231	Iberian populations in Spain
HG02232	Iberian populations in Spain
HG02233	Iberian populations in Spain
HG02234	Iberian populations in Spain
HG02235	Iberian populations in Spain
HG02236	Iberian populations in Spain
HG02237	Iberian populations in Spain
HG02238	Iberian populations in Spain
HG02239	Iberian populations in Spain
HG02240	Iberian populations in Spain
HG02250	"Chinese Dai in Xishuangbanna, China"
HG02252	"Peruvian in Lima, Peru"
HG02253	"Peruvian in Lima, Peru"
HG02254	"Peruvian in Lima, Peru"
HG02255	African Caribbean in Barbados
HG02256	African Caribbean in Barbados
HG02257	African Caribbean in Barbados
HG02258	African Caribbean in Barbados
HG02259	"Peruvian in Lima, Peru"
HG02260	"Peruvian in Lima, Peru"
HG02261	"Peruvian in Lima, Peru"
HG02262	"Peruvian in Lima, Peru"
HG02265	"Peruvian in Lima, Peru"
HG02266	"Peruvian in Lima, Peru"
HG02267	"Peruvian in Lima, Peru"
HG02271	"Peruvian in Lima, Peru"
HG02272	"Peruvian in Lima, Peru"
HG02273	"Peruvian in Lima, Peru"
HG02274	"Peruvian in Lima, Peru"
HG02275	"Peruvian in Lima, Peru"
HG02276	"Peruvian in Lima, Peru"
HG02277	"Peruvian in Lima, Peru"
HG02278	"Peruvian in Lima, Peru"
HG02279	"Peruvian in Lima, Peru"
HG02280	African Caribbean in Barbados
HG02281	African Caribbean in Barbados
HG02282	African Caribbean in Barbados
HG02283	African Caribbean in Barbados
HG02284	African Caribbean in Barbados
HG02285	"Peruvian in Lima, Peru"
HG02286	"Peruvian in Lima, Peru"
HG02287	"Peruvian in Lima, Peru"
HG02288	"Peruvian in Lima, Peru"
HG02291	"Peruvian in Lima, Peru"
HG02292	"Peruvian in Lima, Peru"
HG02293	"Peruvian in Lima, Peru"
HG02298	"Peruvian in Lima, Peru"
HG02299	"Peruvian in Lima, Peru"
HG02300	"Peruvian in Lima, Peru"
HG02301	"Peruvian in Lima, Peru"
HG02302	"Peruvian in Lima, Peru"
HG02303	"Peruvian in Lima, Peru"
HG02304	"Peruvian in Lima, Peru"
HG02307	African Caribbean in Barbados
HG02308	African Caribbean in Barbados
HG02309	African Caribbean in Barbados
HG02312	"Peruvian in Lima, Peru"
HG02314	African Caribbean in Barbados
HG02315	African Caribbean in Barbados
HG02316	African Caribbean in Barbados
HG02317	African Caribbean in Barbados
HG02318	African Caribbean in Barbados
HG02321	African Caribbean in Barbados
HG02322	African Caribbean in Barbados
HG02323	African Caribbean in Barbados
HG02325	African Caribbean in Barbados
HG02330	African Caribbean in Barbados
HG02332	African Caribbean in Barbados
HG02334	African Caribbean in Barbados
HG02337	African Caribbean in Barbados
HG02339	African Caribbean in Barbados
HG02343	African Caribbean in Barbados
HG02344	"Peruvian in Lima, Peru"
HG02345	"Peruvian in Lima, Peru"
HG02347	"Peruvian in Lima, Peru"
HG02348	"Peruvian in Lima, Peru"
HG02351	"Chinese Dai in Xishuangbanna, China"
HG02353	"Chinese Dai in Xishuangbanna, China"
HG02355	"Chinese Dai in Xishuangbanna, China"
HG02356	"Chinese Dai in Xishuangbanna, China"
HG02358	"Chinese Dai in Xishuangbanna, China"
HG02360	"Chinese Dai in Xishuangbanna, China"
HG02363	"Chinese Dai in Xishuangbanna, China"
HG02364	"Chinese Dai in Xishuangbanna, China"
HG02367	"Chinese Dai in Xishuangbanna, China"
HG02371	"Chinese Dai in Xishuangbanna, China"
HG02372	"Chinese Dai in Xishuangbanna, China"
HG02373	"Chinese Dai in Xishuangbanna, China"
HG02374	"Chinese Dai in Xishuangbanna, China"
HG02375	"Chinese Dai in Xishuangbanna, China"
HG02377	"Chinese Dai in Xishuangbanna, China"
HG02379	"Chinese Dai in Xishuangbanna, China"
HG02380	"Chinese Dai in Xishuangbanna, China"
HG02381	"Chinese Dai in Xishuangbanna, China"
HG02382	"Chinese Dai in Xishuangbanna, China"
HG02383	"Chinese Dai in Xishuangbanna, China"
HG02384	"Chinese Dai in Xishuangbanna, China"
HG02385	"Chinese Dai in Xishuangbanna, China"
HG02386	"Chinese Dai in Xishuangbanna, China"
HG02387	"Chinese Dai in Xishuangbanna, China"
HG02388	"Chinese Dai in Xishuangbanna, China"
HG02389	"Chinese Dai in Xishuangbanna, China"
HG02390	"Chinese Dai in Xishuangbanna, China"
HG02391	"Chinese Dai in Xishuangbanna, China"
HG02392	"Chinese Dai in Xishuangbanna, China"
HG02394	"Chinese Dai in Xishuangbanna, China"
HG02395	"Chinese Dai in Xishuangbanna, China"
HG02396	"Chinese Dai in Xishuangbanna, China"
HG02397	"Chinese Dai in Xishuangbanna, China"
HG02398	"Chinese Dai in Xishuangbanna, China"
HG02399	"Chinese Dai in Xishuangbanna, China"
HG02401	"Chinese Dai in Xishuangbanna, China"
HG02402	"Chinese Dai in Xishuangbanna, China"
HG02405	"Chinese Dai in Xishuangbanna, China"
HG02406	"Chinese Dai in Xishuangbanna, China"
HG02407	"Chinese Dai in Xishuangbanna, China"
HG02408	"Chinese Dai in Xishuangbanna, China"
HG02409	"Chinese Dai in Xishuangbanna, China"
HG02410	"Chinese Dai in Xishuangbanna, China"
HG02415	"Peruvian in Lima, Peru"
HG02419	African Caribbean in Barbados
HG02420	African Caribbean in Barbados
HG02425	"Peruvian in Lima, Peru"
HG02427	African Caribbean in Barbados
HG02428	African Caribbean in Barbados
HG02429	African Caribbean in Barbados
HG02433	African Caribbean in Barbados
HG02436	African Caribbean in Barbados
HG02439	African Caribbean in Barbados
HG02442	African Caribbean in Barbados
HG02445	African Caribbean in Barbados
HG02449	African Caribbean in Barbados
HG02450	African Caribbean in Barbados
HG02451	African Caribbean in Barbados
HG02455	African Caribbean in Barbados
HG02461	"Gambian in Western Division, The Gambia"
HG02462	"Gambian in Western Division, The Gambia"
HG02463	"Gambian in Western Division, The Gambia"
HG02464	"Gambian in Western Division, The Gambia"
HG02465	"Gambian in Western Division, The Gambia"
HG02466	"Gambian in Western Division, The Gambia"
HG02470	African Caribbean in Barbados
HG02471	African Caribbean in Barbados
HG02476	African Caribbean in Barbados
HG02477	African Caribbean in Barbados
HG02478	African Caribbean in Barbados
HG02479	African Caribbean in Barbados
HG02480	African Caribbean in Barbados
HG02481	African Caribbean in Barbados
HG02484	African Caribbean in Barbados
HG02485	African Caribbean in Barbados
HG02486	African Caribbean in Barbados
HG02489	African Caribbean in Barbados
HG02490	"Punjabi in Lahore,Pakistan"
HG02491	"Punjabi in Lahore,Pakistan"
HG02492	"Punjabi in Lahore,Pakistan"
HG02493	"Punjabi in Lahore,Pakistan"
HG02494	"Punjabi in Lahore,Pakistan"
HG02495	"Punjabi in Lahore,Pakistan"
HG02496	African Caribbean in Barbados
HG02497	African Caribbean in Barbados
HG02501	African Caribbean in Barbados
HG02502	African Caribbean in Barbados
HG02505	African Caribbean in Barbados
HG02508	African Caribbean in Barbados
HG02511	African Caribbean in Barbados
HG02512	"Kinh in Ho Chi Minh City, Vietnam"
HG02513	"Kinh in Ho Chi Minh City, Vietnam"
HG02514	"Kinh in Ho Chi Minh City, Vietnam"
HG02521	"Kinh in Ho Chi Minh City, Vietnam"
HG02522	"Kinh in Ho Chi Minh City, Vietnam"
HG02523	"Kinh in Ho Chi Minh City, Vietnam"
HG02524	"Kinh in Ho Chi Minh City, Vietnam"
HG02525	"Kinh in Ho Chi Minh City, Vietnam"
HG02526	"Kinh in Ho Chi Minh City, Vietnam"
HG02536	African Caribbean in Barbados
HG02537	African Caribbean in Barbados
HG02541	African Caribbean in Barbados
HG02545	African Caribbean in Barbados
HG02546	African Caribbean in Barbados
HG02547	African Caribbean in Barbados
HG02549	African Caribbean in Barbados
HG02554	African Caribbean in Barbados
HG02555	African Caribbean in Barbados
HG02557	African Caribbean in Barbados
HG02558	African Caribbean in Barbados
HG02559	African Caribbean in Barbados
HG02561	"Gambian in Western Division, The Gambia"
HG02562	"Gambian in Western Division, The Gambia"
HG02563	"Gambian in Western Division, The Gambia"
HG02567	"Gambian in Western Division, The Gambia"
HG02568	"Gambian in Western Division, The Gambia"
HG02569	"Gambian in Western Division, The Gambia"
HG02570	"Gambian in Western Division, The Gambia"
HG02571	"Gambian in Western Division, The Gambia"
HG02572	"Gambian in Western Division, The Gambia"
HG02573	"Gambian in Western Division, The Gambia"
HG02574	"Gambian in Western Division, The Gambia"
HG02575	"Gambian in Western Division, The Gambia"
HG02577	African Caribbean in Barbados
HG02580	African Caribbean in Barbados
HG02582	"Gambian in Western Division, The Gambia"
HG02583	"Gambian in Western Division, The Gambia"
HG02584	"Gambian in Western Division, The Gambia"
HG02585	"Gambian in Western Division, The Gambia"
HG02586	"Gambian in Western Division, The Gambia"
HG02587	"Gambian in Western Division, The Gambia"
HG02588	"Gambian in Western Division, The Gambia"
HG02589	"Gambian in Western Division, The Gambia"
HG02590	"Gambian in Western Division, The Gambia"
HG02594	"Gambian in Western Division, The Gambia"
HG02595	"Gambian in Western Division, The Gambia"
HG02596	"Gambian in Western Division, The Gambia"
HG02597	"Punjabi in Lahore,Pakistan"
HG02599	"Punjabi in Lahore,Pakistan"
HG02600	"Punjabi in Lahore,Pakistan"
HG02601	"Punjabi in Lahore,Pakistan"
HG02602	"Punjabi in Lahore,Pakistan"
HG02603	"Punjabi in Lahore,Pakistan"
HG02604	"Punjabi in Lahore,Pakistan"
HG02605	"Punjabi in Lahore,Pakistan"
HG02610	"Gambian in Western Division, The Gambia"
HG02611	"Gambian in Western Division, The Gambia"
HG02612	"Gambian in Western Division, The Gambia"
HG02613	"Gambian in Western Division, The Gambia"
HG02614	"Gambian in Western Division, The Gambia"
HG02615	"Gambian in Western Division, The Gambia"
HG02620	"Gambian in Western Division, The Gambia"
HG02621	"Gambian in Western Division, The Gambia"
HG02622	"Gambian in Western Division, The Gambia"
HG02623	"Gambian in Western Division, The Gambia"
HG02624	"Gambian in Western Division, The Gambia"
